Major Category,Sub Category,Product Category
Additive,,Binder Jetting
Additive,,Directed Energy Deposition (DED)
Additive,,Hybrid - Additive Manufacturing
Additive,,Material Extrusion
Additive,,Material Jetting
Additive,,Mold - Enabled Additive Manufacturing
Additive,,Powder Bed Fusion (PBF)
Additive,,Sheet Lamination
Additive,,Vat Photopolymerization
Automated Systems,Automated Systems & Cells,Automated System & Cells for Assembly & Test
Automated Systems,Automated Systems & Cells,Automated System & Cells for Material Forming & Fabricating
Automated Systems,Automated Systems & Cells,Automated System & Cells for Material Joining
Automated Systems,Automated Systems & Cells,Automated System & Cells for Material Removal
Automated Systems,Automation and Material Handling,Automatic Storage/Retrieval Systems
Automated Systems,Automation and Material Handling,Bar Feed Mechanisms
Automated Systems,Automation and Material Handling,Conveyors & Other Part Handling Automation
Automated Systems,Automation and Material Handling,Forming Equipment-Loading & Positioning
Automated Systems,Automation and Material Handling,Gantry Loaders
Automated Systems,Automation and Material Handling,Industrial Automatic Data Capturing and Identification Systems
Automated Systems,Automation and Material Handling,Industrial Building Automation Systems
Automated Systems,Automation and Material Handling,Industrial Image Processing Systems
Automated Systems,Automation and Material Handling,Industrial PCs
Automated Systems,Automation and Material Handling,Laser Technology
Automated Systems,Automation and Material Handling,Measuring and Test Systems
Automated Systems,Automation and Material Handling,Mobile Robots - (AGV / UGV / AMR )
Automated Systems,Automation and Material Handling,Multi-Machine Tool-Storage Systems
Automated Systems,Automation and Material Handling,Pallet Changers/Shuttles and Programmable Transfer Devices
Automated Systems,Automation and Material Handling,Robot Tooling/Grippers
Automated Systems,Automation and Material Handling,Safety and Security Systems
Automated Systems,Automation and Material Handling,Sensors and Actuators
Automated Systems,Automation and Material Handling,Stationary Robots - (Robot Arm)
Automated Systems,Automation and Material Handling,"Workpiece Handling, Loading and Feeding Equipment"
CAD / CAM,,"Software, Engineering Analysis and Simulation"
Controls,,"Communication, Networks and Field Bus Systems"
Controls,,Computer Numerical Control (CNC) Units
Controls,,"Control Systems, PLC, SCADA Systems"
Controls,,Digital Readout (DRO) Units
Controls,,Direct or Distributive Numerical Control (DNC) Systems
Controls,,Embedded Systems
Controls,,Programmable Logic Controls (PLC)
Controls,,Robot Controllers
Finishing and Post-processing,,Buffing and Polishing Machines
Finishing and Post-processing,,"Deburring, Etching, Cleaning & Peening"
Finishing and Post-processing,,"Grinding Machines, Centerless"
Finishing and Post-processing,,"Grinding Machines, Cylindrical OD"
Finishing and Post-processing,,"Grinding Machines, Internal Cylindrical"
Finishing and Post-processing,,"Grinding Machines, Surface"
Finishing and Post-processing,,"Grinding Machines, Tool, Cutter and Drill Point"
Finishing and Post-processing,,Honing Machines
Finishing and Post-processing,,Lapping Machines
Gear Manufacturing,,Gear Generation (Bevel) Machines
Gear Manufacturing,,Gear Hobbing Machines
Gear Manufacturing,,Gear Rolling Machines
Gear Manufacturing,,Gear Shaping Machines
Gear Manufacturing,,Gear Shaving Machines
Joining and Forming,Forming,Coil Handling
Joining and Forming,Forming,Press Brakes
Joining and Forming,Forming,"Presses, Hydraulic"
Joining and Forming,Forming,"Presses, Mechanical"
Joining and Forming,Forming,"Presses, Punch"
Joining and Forming,Forming,Roll Forming and Bending Machines
Joining and Forming,Forming,Shearing
Joining and Forming,Forming,Wire Forming Machines
Joining and Forming,Welding,"Welding Machines, Electric"
