"Major Category","Sub Category","Product Category"
"Additive","","Binder Jetting"
"Additive","","Directed Energy Deposition (DED)"
"Additive","","Hybrid - Additive Manufacturing"
"Additive","","Material Extrusion"
"Additive","","Material Jetting"
"Additive","","Powder Bed Fusion (PBF)"
"Additive","","Sheet Lamination"
"Additive","","Vat Photopolymerization"
"Automated Systems","Automated Systems & Cells","Automated Pallet Systems"
"Automated Systems","Automated Systems & Cells","Automated System & Cells for Assembly & Test"
"Automated Systems","Automated Systems & Cells","Automated System & Cells for Material Forming & Fabricating"
"Automated Systems","Automated Systems & Cells","Automated System & Cells for Material Joining"
"Automated Systems","Automated Systems & Cells","Automated System & Cells for Material Removal"
"Automated Systems","Automated Systems & Cells","Machining Cells & FMS"
"Automated Systems","Automation and Material Handling","Automated Guided Vehicles"
"Automated Systems","Automation and Material Handling","Automatic Storage/Retrieval Systems"
"Automated Systems","Automation and Material Handling","Bar Feed Mechanisms"
"Automated Systems","Automation and Material Handling","Bowl Feeders"
"Automated Systems","Automation and Material Handling","Chip Conveyors and Handling Equipment"
"Automated Systems","Automation and Material Handling","Conveyors & Other Part Handling Automation"
"Automated Systems","Automation and Material Handling","Gantry Loaders"
"Automated Systems","Automation and Material Handling","Industrial Automatic Data Capturing and Identification Systems"
"Automated Systems","Automation and Material Handling","Industrial Building Automation Systems"
"Automated Systems","Automation and Material Handling","Industrial Image Processing Systems"
"Automated Systems","Automation and Material Handling","Industrial PCs"
"Automated Systems","Automation and Material Handling","Laser Technology"
"Automated Systems","Automation and Material Handling","Lifting and Positioning Equipment"
"Automated Systems","Automation and Material Handling","Measuring and Test Systems"
"Automated Systems","Automation and Material Handling","Mobile Robots - (AGV / UGV / AMR )"
"Automated Systems","Automation and Material Handling","Multi-Machine Tool-Storage Systems"
"Automated Systems","Automation and Material Handling","Pallet Changers - Manual"
"Automated Systems","Automation and Material Handling","Pallet Changers/Shuttles and Programmable Transfer Devices"
"Automated Systems","Automation and Material Handling","Press Automation Devices"
"Automated Systems","Automation and Material Handling","Press Feeds and Loading Equipment"
"Automated Systems","Automation and Material Handling","Process Automation Systems & Services"
"Automated Systems","Automation and Material Handling","Robot Tooling/Grippers"
"Automated Systems","Automation and Material Handling","Safety and Security Systems"
"Automated Systems","Automation and Material Handling","Sensors and Actuators"
"Automated Systems","Automation and Material Handling","Stationary Robots - (Robot Arm)"
"Automated Systems","Automation and Material Handling","Workpiece Handling, Loading and Feeding Equipment"
"Automated Systems","Transfer Machines","Transfer Machines, Dial Index"
"Automated Systems","Transfer Machines","Transfer Machines, In-line"
"Automated Systems","Transfer Machines","Transfer Machines, Rotary"
"Automated Systems","Transfer Machines","Transfer Machines, Shuttle-type"
"Automated Systems","Transfer Machines","Transfer Machines, Trunnion"
"CAD / CAM","","Printed Circuit Board Design and Manufacturing"
"CAD / CAM","","Software, CAD/CAM"
"CAD / CAM","","Software, CAD/CAM for Additive Manufacturing"
"CAD / CAM","","Software, Engineering Analysis and Simulation"
"CAD / CAM","","Software, Nesting"
"CAD / CAM","","Software, Post Processors, Stand-Alone (sold independent of CAM system)"
"Controls","","Communication, Networks and Field Bus Systems"
"Controls","","Communications Networks, and Data Transmission Equipment"
"Controls","","Computer Numerical Control (CNC) Software (sold independent of hardware)"
"Controls","","Computer Numerical Control (CNC) Units"
